roster_randomid,url,action,created_at,interaction_seconds,remote_ip
104500,https://canvas.eee.uci.edu/courses/2230/files/742190/download?download_frd=1,show,2016-08-01T17:29:47Z,,70.209.201.77
104500,https://canvas.eee.uci.edu/courses/2230/files/742190?module_item_id=62039,show,2016-08-01T17:29:37Z,,70.209.201.77
104500,https://canvas.eee.uci.edu/courses/2230/pages/5-box-solution-format?module_item_id=62400,show,2016-08-01T17:29:25Z,,70.209.201.77
104500,https://canvas.eee.uci.edu/courses/2230/files/742190?module_item_id=62039,show,2016-08-01T17:29:02Z,,70.209.201.77
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-08-01T17:28:51Z,,70.209.201.77
104500,https://canvas.eee.uci.edu/courses/2230/files/747534/download?wrap=1,show,2016-07-27T01:50:13Z,,70.209.208.98
104500,https://canvas.eee.uci.edu/courses/2230/pages/list-of-important-concepts?module_item_id=62386,show,2016-07-27T01:50:07Z,,70.209.208.98
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-27T01:49:56Z,,70.209.208.98
104500,https://canvas.eee.uci.edu/courses/2230/files/748147?module_item_id=62454,show,2016-07-27T01:06:27Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-27T01:06:23Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/files/748131?module_item_id=62444,show,2016-07-27T01:05:57Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-27T01:05:40Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/files/748142/download?wrap=1,show,2016-07-26T21:35:12Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/files/748132/download?wrap=1,show,2016-07-26T21:35:11Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/files/748141/download?wrap=1,show,2016-07-26T21:27:23Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/files/748130/download?wrap=1,show,2016-07-26T21:27:19Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/files/748132/download?wrap=1,show,2016-07-26T19:50:06Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/files/748142/download?wrap=1,show,2016-07-26T19:49:59Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/files/748132/download?wrap=1,show,2016-07-26T19:49:57Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/files/748162/download?wrap=1,show,2016-07-26T18:15:14Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/files/748133/download?wrap=1,show,2016-07-26T18:15:11Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/pages/practice-exams?module_item_id=62459,show,2016-07-26T18:15:03Z,15.0,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-26T18:14:54Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/files/748057/download?wrap=1,show,2016-07-26T00:41:04Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/files/748149/download?wrap=1,show,2016-07-26T00:40:55Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/files/748150/download?wrap=1,show,2016-07-25T00:07:48Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/files/748140/download?wrap=1,show,2016-07-25T00:04:39Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/pages/practice-exams?module_item_id=62459,show,2016-07-25T00:04:27Z,14.0,70.187.187.85
104500,https://ucirvine.instructure.com/courses/2230/assignments/49369,show,2016-07-24T23:06:20Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-24T21:36:07Z,11.0,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/assignments/49374?module_item_id=62441,show,2016-07-24T19:05:23Z,19.0,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-24T19:05:13Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/pages/reading-schedule?module_item_id=62397,show,2016-07-24T18:35:00Z,24.0,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-24T18:34:41Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/assignments/49367/submissions,create,2016-07-24T06:00:44Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/assignments/49367,show,2016-07-24T06:00:16Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/files/748152/download?wrap=1,show,2016-07-24T05:35:58Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/assignments/49367,show,2016-07-24T05:35:50Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-24T05:31:54Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/pages/week-5-daily-lectures?module_item_id=62449,show,2016-07-23T04:03:45Z,,68.231.213.182
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-23T04:03:39Z,,68.231.213.182
104500,https://canvas.eee.uci.edu/courses/2230/pages/week-5-checklist?module_item_id=62448,show,2016-07-23T04:03:34Z,,68.231.213.182
104500,https://canvas.eee.uci.edu/courses/2230/pages/reading-schedule,show,2016-07-23T02:04:56Z,15.0,68.231.213.182
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-23T01:55:24Z,,68.231.213.182
104500,https://canvas.eee.uci.edu/courses/2230/files/747534/download?wrap=1,show,2016-07-22T18:49:31Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/pages/list-of-important-concepts?module_item_id=62386,show,2016-07-22T18:48:49Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-22T18:48:40Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/pages/week-5-daily-lectures?module_item_id=62449,show,2016-07-22T04:19:26Z,,68.231.213.182
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-22T04:19:21Z,,68.231.213.182
104500,https://canvas.eee.uci.edu/courses/2230/pages/reading-schedule?module_item_id=62397,show,2016-07-22T00:57:49Z,,68.231.213.182
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-22T00:57:44Z,,68.231.213.182
104500,https://canvas.eee.uci.edu/courses/2230/files/748131?module_item_id=62444,show,2016-07-21T22:32:42Z,15.0,68.231.213.182
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-21T22:32:22Z,,68.231.213.182
104500,https://canvas.eee.uci.edu/courses/2230/pages/week-4-daily-lectures?module_item_id=62440,show,2016-07-21T22:07:20Z,13.0,68.231.213.182
